Thousands of Words ;Length;Rank Oxford 100;;Rank;;;Fry's List of 1000 Most Common Words
debt;4;;;;;;experience
deck;4;;;;;;rose
deed;4;;;;;;allow
deem;4;;;;;;fear
deep;4;;;;;;workers
deer;4;;;;;;Washington
deft;4;;;;;;Greek
defy;4;;;;;;women
deli;4;;;;;;bought
dell;4;;;;;;led
demo;4;;;;;;march
dens;4;;;;;;northern
dent;4;;;;;;create
deny;4;;;;;;British
desk;4;;;;;;difficult
dewy;4;;;;;;match
dhow;4;;;;;;win
dial;4;;;;;;doesn’t
dibs;4;;;;;;steel
dice;4;;;;;;total
dick;4;;;;;;deal
dido;4;;;;;;determine
died;4;;;;;;evening
dies;4;;;;;;nor
diet;4;;;;;;rope
digs;4;;;;;;cotton
dike;4;;;;;;apple
dill;4;;;;;;details
dime;4;;;;;;entire
dims;4;;;;;;corn
dine;4;;;;;;substances
ding;4;;;;;;smell
dins;4;;;;;;tools
dint;4;;;;;;condition
dips;4;;;;;;cows
dire;4;;;;;;track
dirk;4;;;;;;arrived
dirt;4;;;;;;located
disc;4;;;;;;sir
dish;4;;;;;;seat
disk;4;;;;;;division
diss;4;;;;;;effect
ditz;4;;;;;;underline
diva;4;;;;;;view
dive;4;;;;;;
dock;4;;;;;;
docs;4;;;;;;
dodo;4;;;;;;
doer;4;;;;;;
does;4;;;;;;
doff;4;;;;;;
doge;4;;;;;;
dogs;4;;;;;;
dogy;4;;;;;;
dole;4;;;;;;
doll;4;;;;;;
dolt;4;;;;;;
dome;4;;;;;;
dona;4;;;;;;
done;4;;;;;;
dong;4;;;;;;
dons;4;;;;;;
doom;4;;;;;;
door;4;;;;;;
dopa;4;;;;;;
dope;4;;;;;;
dopy;4;;;;;;
dork;4;;;;;;
dorm;4;;;;;;
dory;4;;;;;;
dose;4;;;;;;
dost;4;;;;;;
dote;4;;;;;;
doth;4;;;;;;
dots;4;;;;;;
dour;4;;;;;;
dove;4;;;;;;
down;4;;;;;;
doze;4;;;;;;
drab;4;;;;;;
drag;4;;;;;;
dram;4;;;;;;
drat;4;;;;;;
draw;4;;;;;;
dray;4;;;;;;
drew;4;;;;;;
drip;4;;;;;;
drop;4;;;;;;
drub;4;;;;;;
drug;4;;;;;;
drum;4;;;;;;
drys;4;;;;;;
dual;4;;;;;;
dubs;4;;;;;;
duck;4;;;;;;
duct;4;;;;;;
dude;4;;;;;;
duds;4;;;;;;
duel;4;;;;;;
dues;4;;;;;;
duet;4;;;;;;
duff;4;;;;;;
duke;4;;;;;;
dull;4;;;;;;
duly;4;;;;;;
dumb;4;;;;;;
dump;4;;;;;;
dune;4;;;;;;
dung;4;;;;;;
dunk;4;;;;;;
duns;4;;;;;;
duos;4;;;;;;
dupe;4;;;;;;
dusk;4;;;;;;
dust;4;;;;;;
duty;4;;;;;;
dyed;4;;;;;;
dyer;4;;;;;;
dyes;4;;;;;;
dyke;4;;;;;;
each;4;;;;;;
earl;4;;;;;;
earn;4;;;;;;
ears;4;;;;;;
ease;4;;;;;;
east;4;;;;;;
easy;4;;;;;;
eats;4;;;;;;
eave;4;;;;;;
